Character,Frequency,Radical_position,Radical,Strokes
胱,3847,肉 130.6,肉,10
荔,3848,艸 140.6,艸,9
蟆,3849,虫 142.11,虫,16
湍,3850,水 85.9,水,12
屹,3851,山 46.3,山,6
遐,3852,辵 162.9,辵,12
轲,3853,車 159.5,車,9
镯,3854,金 167.13,金,18
缰,3855,糸 120.13,糸,16
桦,3856,木 75.6,木,10
炖,3857,火 86.4,火,8
钡,3858,金 167.4,金,9
羚,3859,羊 123.5,羊,11
啬,3860,十 24.9,十,11
诩,3861,言 149.6,言,8
绯,3862,糸 120.8,糸,11
掖,3863,手 64.8,手,11
箓,3864,竹 118.8,竹,14
涸,3865,水 85.8,水,11
鸳,3866,鳥 196.5,鳥,10
塾,3867,土 32.11,土,14
呸,3868,口 30.5,口,8
抡,3869,手 64.4,手,7
擞,3870,手 64.13,手,16
熹,3871,火 86.12,火,16
坷,3872,土 32.5,土,8
瓮,3873,瓦 98.4,瓦,8
亘,3874,二 7.4,二,6
嗟,3875,口 30.10,口,12
筵,3876,竹 118.7,竹,12
跛,3877,足 157.5,足,12
汕,3878,水 85.3,水,6
欤,3879,欠 76.3,欠,7
壑,3880,土 32.14,土,17
颍,3881,水 85.8,水,12
溥,3882,水 85.10,水,13
姗,3883,女 38.5,女,8
踊,3884,足 157.7,足,14
枭,3885,木 75.4,木,8
暄,3886,日 72.9,日,13
稷,3887,禾 115.10,禾,15
跚,3888,足 157.5,足,12
涟,3889,水 85.7,水,10
瀛,3890,水 85.16,水,19
笙,3891,竹 118.5,竹,11
滕,3892,水 85.10,水,15
踝,3893,足 157.8,足,15
贰,3894,弋 56.6,弋,9
瞰,3895,目 109.12,目,16
恻,3896,心 61.6,心,9
嚏,3897,口 30.14,口,17
迢,3898,辵 162.5,辵,8
獗,3899,犬 94.12,犬,15
邯,3900,邑 163.5,邑,7
睑,3901,目 109.7,目,12
赡,3902,貝 154.13,貝,17
萦,3903,艸 140.8,艸,11
珥,3904,玉 96.6,玉,10
酮,3905,酉 164.6,酉,13
璞,3906,玉 96.12,玉,16
羹,3907,羊 123.13,羊,19
缄,3908,糸 120.9,糸,12
晾,3909,日 72.8,日,12
俸,3910,人 9.8,人,10
媲,3911,女 38.10,女,13
鸾,3912,鳥 196.6,鳥,11
恿,3913,心 61.7,心,11
蜿,3914,虫 142.8,虫,14
犊,3915,牛 93.8,牛,12
讷,3916,言 149.4,言,6
扈,3917,戶 63.7,戶,11
蜈,3918,虫 142.7,虫,13
翟,3919,羽 124.8,羽,14
藕,3920,艸 140.15,艸,18
戌,3921,戈 62.2,戈,6
蓓,3922,艸 140.10,艸,13
鋆,3923,金 167.7,金,15
谩,3924,言 149.11,言,13
谀,3925,言 149.8,言,10
卯,3926,卩 26.3,卩,5
谙,3927,言 149.9,言,11
岐,3928,山 46.4,山,7
蝎,3929,虫 142.9,虫,15
荼,3930,艸 140.7,艸,10
镀,3931,金 167.9,金,14
椰,3932,木 75.9,木,12
甄,3933,瓦 98.9,瓦,13
蟾,3934,虫 142.13,虫,19
蹊,3935,足 157.10,足,17
泞,3936,水 85.5,水,8
撸,3937,手 64.12,手,15
螃,3938,虫 142.10,虫,16
檬,3939,木 75.14,木,17
猓,3940,犬 94.8,犬,11
蔷,3941,艸 140.11,艸,14
羲,3942,羊 123.10,羊,16
瘸,3943,疒 104.11,疒,16
蘸,3944,艸 140.19,艸,22
蔗,3945,艸 140.11,艸,14
傀,3946,人 9.10,人,11
蚌,3947,虫 142.4,虫,10
锢,3948,金 167.8,金,13
遽,3949,辵 162.13,辵,16
邃,3950,辵 162.13,辵,17
恚,3951,心 61.6,心,10
皑,3952,白 106.6,白,11
锵,3953,金 167.9,金,14
簌,3954,竹 118.11,竹,17
焙,3955,火 86.8,火,12
昊,3956,日 72.4,日,8
鹳,3957,鳥 196.17,鳥,22
睽,3958,目 109.9,目,14
刽,3959,刀 18.6,刀,8
鳖,3960,魚 195.11,魚,19
噎,3961,口 30.12,口,15
呗,3962,口 30.4,口,7
寰,3963,宀 40.13,宀,16
