Character,Frequency,Radical_position,Radical,Strokes
钤,5092,金 167.4,金,9
鹜,5093,鳥 196.9,鳥,14
鬈,5094,髟 190.8,髟,18
铵,5095,金 167.6,金,11
戬,5096,戈 62.10,戈,14
點,5097,黑 203.5,黑,17
崮,5098,山 46.8,山,11
枰,5099,木 75.5,木,9
樯,5100,木 75.11,木,15
脍,5101,肉 130.6,肉,10
畲,5102,田 102.7,田,12
衾,5103,衣 145.4,衣,10
蹼,5104,足 157.12,足,19
題,5105,頁 181.9,頁,18
劬,5106,力 19.5,力,7
咭,5107,口 30.6,口,9
囫,5108,囗 31.4,囗,7
洱,5109,水 85.6,水,9
刎,5110,刀 18.4,刀,6
芏,5111,艸 140.3,艸,6
琊,5112,玉 96.7,玉,10
碚,5113,石 112.8,石,13
鳕,5114,魚 195.11,魚,19
谪,5115,言 149.11,言,13
芎,5116,艸 140.3,艸,6
恂,5117,心 61.6,心,9
槿,5118,木 75.11,木,15
鲢,5119,魚 195.8,魚,15
鲧,5120,魚 195.7,魚,15
嘧,5121,口 30.11,口,14
绀,5122,糸 120.5,糸,8
郦,5123,邑 163.7,邑,9
噱,5124,口 30.13,口,16
浠,5125,水 85.7,水,10
潸,5126,水 85.12,水,15
跏,5127,足 157.5,足,12
鲶,5128,魚 195.8,魚,16
矍,5129,目 109.15,目,20
苌,5130,艸 140.4,艸,7
抻,5131,手 64.5,手,8
琰,5132,玉 96.8,玉,12
鹚,5133,鳥 196.9,鳥,14
龆,5134,齒 211.5,齒,13
臬,5135,自 132.4,自,10
芄,5136,艸 140.3,艸,6
呔,5137,口 30.4,口,7
雒,5138,隹 172.6,隹,14
觞,5139,角 148.5,角,12
钒,5140,金 167.3,金,8
饫,5141,食 184.4,食,7
阒,5142,門 169.9,門,12
槎,5143,木 75.10,木,13
鸩,5144,鳥 196.4,鳥,9
舂,5145,臼 134.5,臼,11
谠,5146,言 149.10,言,12
阡,5147,阜 170.3,阜,5
莒,5148,艸 140.7,艸,9
萸,5149,艸 140.9,艸,11
妗,5150,女 38.4,女,7
稔,5151,禾 115.8,禾,13
穰,5152,禾 115.17,禾,22
蚧,5153,虫 142.4,虫,10
餍,5154,食 184.6,食,15
谯,5155,言 149.12,言,14
芗,5156,艸 140.3,艸,6
菸,5157,艸 140.8,艸,11
葩,5158,艸 140.9,艸,12
踔,5159,足 157.8,足,15
厣,5160,厂 27.9,厂,11
佻,5161,人 9.6,人,8
嘌,5162,口 30.11,口,14
饩,5163,食 184.4,食,7
钏,5164,金 167.3,金,8
蠓,5165,虫 142.14,虫,19
黩,5166,黑 203.8,黑,20
倨,5167,人 9.8,人,10
腸,5168,肉 130.9,肉,13
缬,5169,糸 120.12,糸,15
殚,5170,歹 78.8,歹,12
钿,5171,金 167.5,金,10
鎏,5172,金 167.10,金,18
恁,5173,心 61.6,心,10
藿,5174,艸 140.16,艸,19
囟,5175,囗 31.3,囗,6
鄣,5176,邑 163.11,邑,13
呋,5177,口 30.4,口,7
婺,5178,女 38.9,女,12
绱,5179,糸 120.8,糸,11
瓯,5180,瓦 98.4,瓦,8
旃,5181,方 70.6,方,10
锶,5182,金 167.9,金,14
酩,5183,酉 164.6,酉,13
恹,5184,心 61.6,心,9
逶,5185,辵 162.8,辵,11
缦,5186,糸 120.11,糸,14
鸹,5187,鳥 196.6,鳥,11
螟,5188,虫 142.10,虫,16
菟,5189,艸 140.8,艸,11
阗,5190,門 169.10,門,13
濉,5191,水 85.13,水,16
篑,5192,竹 118.9,竹,15
醪,5193,酉 164.11,酉,18
鲛,5194,魚 195.6,魚,14
讦,5195,言 149.3,言,5
媪,5196,女 38.9,女,12
邬,5197,邑 163.4,邑,6
殇,5198,歹 78.5,歹,9
鄯,5199,邑 163.12,邑,14
芡,5200,艸 140.4,艸,7
嫠,5201,女 38.11,女,14
肼,5202,肉 130.4,肉,8
峤,5203,山 46.6,山,9
矽,5204,石 112.3,石,8
讧,5205,言 149.3,言,5
掼,5206,手 64.8,手,11
焖,5207,火 86.7,火,11
愆,5208,心 61.9,心,13
聩,5209,耳 128.9,耳,15
岘,5210,山 46.4,山,7
靛,5211,青 174.8,青,16
菖,5212,艸 140.8,艸,11
卟,5213,口 30.2,口,5
姒,5214,女 38.5,女,7
杷,5215,木 75.4,木,8
砉,5216,石 112.4,石,9
袢,5217,衣 145.5,衣,10
蚋,5218,虫 142.4,虫,10
笳,5219,竹 118.5,竹,11
挈,5220,手 64.6,手,10
關,5221,門 169.11,門,19
踽,5222,足 157.9,足,16
黾,5223,黽 205.0,黽,8
麼,5224,麻 200.3,麻,14
侩,5225,人 9.6,人,8
凫,5226,几 16.4,几,6
诔,5227,言 149.6,言,8
郯,5228,邑 163.8,邑,10
韪,5229,韋 178.9,韋,13
挲,5230,手 64.7,手,11
笪,5231,竹 118.5,竹,11
鼋,5232,龜 213.4,龜,12
莜,5233,艸 140.7,艸,10
風,5234,風 182.0,風,9
菅,5235,艸 140.8,艸,11
嵊,5236,山 46.10,山,13
裢,5237,衣 145.7,衣,12
趿,5238,足 157.4,足,10
箸,5239,竹 118.9,竹,14
莴,5240,艸 140.7,艸,10
莠,5241,艸 140.7,艸,10
阌,5242,門 169.8,門,11
旯,5243,日 72.2,日,6
圜,5244,囗 31.13,囗,16
涪,5245,水 85.8,水,11
赍,5246,貝 154.8,貝,12
柞,5247,木 75.5,木,9
嗍,5248,口 30.10,口,13
囵,5249,囗 31.4,囗,7
榧,5250,木 75.10,木,14
裰,5251,衣 145.8,衣,13
笾,5252,竹 118.6,竹,11
簟,5253,竹 118.12,竹,18
跎,5254,足 157.5,足,12
巽,5255,己 49.9,己,12
曷,5256,曰 73.5,曰,9
逖,5257,辵 162.7,辵,10
骓,5258,馬 187.8,馬,11
绔,5259,糸 120.6,糸,9
枋,5260,木 75.4,木,8
镒,5261,金 167.10,金,15
魃,5262,鬼 194.5,鬼,14
餮,5263,食 184.9,食,18
讵,5264,言 149.5,言,6
乜,5265,乙 5.1,乙,2
鄢,5266,邑 163.11,邑,13
瑭,5267,玉 96.10,玉,14
踅,5268,足 157.7,足,14
馓,5269,食 184.12,食,15
蟛,5270,虫 142.12,虫,18
鳟,5271,魚 195.12,魚,20
荛,5272,艸 140.6,艸,9
菬,5273,艸 140.8,艸,11
忪,5274,心 61.4,心,7
阍,5275,門 169.8,門,11
姹,5276,女 38.6,女,9
纰,5277,糸 120.4,糸,7
桉,5278,木 75.6,木,10
氪,5279,气 84.7,气,11
氘,5280,气 84.2,气,6
垅,5281,土 32.5,土,8
郃,5282,邑 163.6,邑,8
汊,5283,水 85.3,水,6
娉,5284,女 38.7,女,10
纡,5285,糸 120.3,糸,6
缟,5286,糸 120.10,糸,13
旮,5287,日 72.2,日,6
镢,5288,金 167.12,金,17
傈,5289,人 9.10,人,12
堋,5290,土 32.8,土,11
蔺,5291,艸 140.11,艸,14
庥,5292,广 53.6,广,9
枥,5293,木 75.4,木,8
腭,5294,肉 130.9,肉,13
鹕,5295,鳥 196.9,鳥,14
笮,5296,竹 118.5,竹,11
髂,5297,骨 188.9,骨,18
魍,5298,鬼 194.8,鬼,17
缁,5299,糸 120.8,糸,11
槊,5300,木 75.10,木,14
跞,5301,足 157.5,足,12
醚,5302,酉 164.10,酉,16
吒,5303,口 30.3,口,6
枳,5304,木 75.5,木,9
搿,5305,手 64.10,手,14
鹧,5306,鳥 196.11,鳥,16
蜍,5307,虫 142.7,虫,13
舻,5308,舟 137.5,舟,11
鏊,5309,金 167.11,金,18
禳,5310,示 113.17,示,21
蒺,5311,艸 140.10,艸,13
钹,5312,金 167.5,金,10
蜢,5313,虫 142.8,虫,14
鬻,5314,鬲 193.12,鬲,22
珩,5315,玉 96.6,玉,10
卮,5316,卩 26.3,卩,5
垭,5317,土 32.6,土,9
苄,5318,艸 140.4,艸,7
苕,5319,艸 140.5,艸,8
菀,5320,艸 140.8,艸,11
骠,5321,馬 187.11,馬,14
袷,5322,衣 145.6,衣,11
跹,5323,足 157.6,足,13
瘘,5324,疒 104.9,疒,14
騔,5325,馬 187.9,馬,19
論,5326,言 149.8,言,15
磬,5327,石 112.11,石,16
缶,5328,缶 121.0,缶,6
笸,5329,竹 118.5,竹,11
鸷,5330,鳥 196.6,鳥,11
頭,5331,頁 181.7,頁,16
芰,5332,艸 140.4,艸,7
蕲,5333,艸 140.12,艸,15
阆,5334,門 169.7,門,10
纨,5335,糸 120.3,糸,6
琮,5336,玉 96.8,玉,12
牦,5337,牛 93.4,牛,8
砩,5338,石 112.5,石,10
蠲,5339,虫 142.17,虫,23
锒,5340,金 167.7,金,12
锕,5341,金 167.8,金,12
郓,5342,邑 163.6,邑,8
妯,5343,女 38.5,女,8
驷,5344,馬 187.5,馬,8
鹩,5345,鳥 196.12,鳥,17
舢,5346,舟 137.3,舟,9
趸,5347,足 157.3,足,10
證,5348,言 149.12,言,19
養,5349,食 184.6,食,14
芫,5350,艸 140.4,艸,7
嗉,5351,口 30.10,口,13
蠊,5352,虫 142.13,虫,19
笊,5353,竹 118.4,竹,10
莸,5354,艸 140.7,艸,10
饴,5355,食 184.5,食,8
阃,5356,門 169.7,門,10
浯,5357,水 85.7,水,10
枇,5358,木 75.4,木,8
焱,5359,火 86.8,火,12
铆,5360,金 167.5,金,10
擤,5361,手 64.14,手,17
柢,5362,木 75.5,木,9
醢,5363,酉 164.10,酉,17
呲,5364,口 30.5,口,9
崾,5365,山 46.9,山,12
溆,5366,水 85.9,水,12
潴,5367,水 85.12,水,14
牖,5368,片 91.11,片,15
硪,5369,石 112.7,石,12
碓,5370,石 112.8,石,13
鹆,5371,鳥 196.7,鳥,12
鬣,5372,髟 190.15,髟,25
堀,5373,土 32.8,土,11
帙,5374,巾 50.5,巾,8
雱,5375,雨 173.4,雨,12
須,5376,頁 181.3,頁,12
進,5377,辵 162.8,辵,11
诎,5378,言 149.5,言,7
獐,5379,犬 94.11,犬,14
桁,5380,木 75.6,木,10
蛱,5381,虫 142.6,虫,12
鳏,5382,魚 195.10,魚,18
郴,5383,邑 163.8,邑,10
幂,5384,冖 14.10,冖,12
箝,5385,竹 118.8,竹,14
僳,5386,人 9.12,人,14
疝,5387,疒 104.3,疒,8
茴,5388,艸 140.6,艸,9
揶,5389,手 64.9,手,11
呦,5390,口 30.5,口,8
嗌,5391,口 30.10,口,13
囹,5392,囗 31.5,囗,8
螈,5393,虫 142.10,虫,16
脲,5394,肉 130.7,肉,11
镊,5395,金 167.10,金,15
锑,5396,金 167.7,金,12
胨,5397,肉 130.5,肉,9
膈,5398,肉 130.10,肉,14
痼,5399,疒 104.8,疒,13
鳊,5400,魚 195.9,魚,17
赅,5401,貝 154.6,貝,10
贽,5402,貝 154.6,貝,10
處,5403,虍 141.5,虍,11
苤,5404,艸 140.5,艸,8
峄,5405,山 46.5,山,8
桡,5406,木 75.6,木,10
雎,5407,隹 172.5,隹,13
鲋,5408,魚 195.5,魚,13
鞫,5409,革 177.9,革,18
鼬,5410,鼠 208.5,鼠,18
獯,5411,犬 94.14,犬,17
昀,5412,日 72.4,日,8
痍,5413,疒 104.6,疒,11
蟊,5414,虫 142.11,虫,17
鞴,5415,革 177.10,革,19
疖,5416,疒 104.2,疒,7
熘,5417,火 86.10,火,14
乇,5418,丿 4.2,丿,3
羸,5419,羊 123.13,羊,19
嵴,5420,山 46.10,山,13
栀,5421,木 75.5,木,9
槲,5422,木 75.11,木,15
炝,5423,火 86.4,火,8
炷,5424,火 86.5,火,9
硐,5425,石 112.6,石,11
锸,5426,金 167.9,金,14
鹂,5427,鳥 196.7,鳥,12
裾,5428,衣 145.8,衣,13
侪,5429,人 9.6,人,8
診,5430,言 149.5,言,12
調,5431,言 149.8,言,15
珐,5432,玉 96.5,玉,9
縯,5433,糸 120.11,糸,17
哔,5434,口 30.6,口,9
屙,5435,尸 44.8,尸,10
旆,5436,方 70.6,方,10
佰,5437,人 9.6,人,8
僦,5438,人 9.12,人,14
牯,5439,牛 93.5,牛,9
钪,5440,金 167.4,金,9
掾,5441,手 64.9,手,12
針,5442,金 167.2,金,10
仟,5443,人 9.3,人,5
圮,5444,土 32.3,土,6
芟,5445,艸 140.4,艸,7
崃,5446,山 46.7,山,10
廪,5447,广 53.13,广,16
擘,5448,手 64.13,手,17
笱,5449,竹 118.5,竹,11
跗,5450,足 157.5,足,12
鲅,5451,魚 195.5,魚,13
硷,5452,石 112.7,石,12
苎,5453,艸 140.4,艸,7
匏,5454,勹 20.9,勹,11
嗾,5455,口 30.11,口,14
圄,5456,囗 31.7,囗,10
彀,5457,弓 57.10,弓,13
粳,5458,米 119.7,米,13
卣,5459,卜 25.5,卜,7
勐,5460,力 19.8,力,10
掴,5461,手 64.7,手,11
涑,5462,水 85.7,水,10
浞,5463,水 85.7,水,10
玳,5464,玉 96.5,玉,9
愍,5465,心 61.9,心,13
畛,5466,田 102.5,田,10
赧,5467,赤 155.5,赤,11
貉,5468,豸 153.6,豸,13
擀,5469,手 64.13,手,16
湫,5470,水 85.9,水,12
逦,5471,辵 162.7,辵,10
椴,5472,木 75.9,木,13
铄,5473,金 167.5,金,10
箧,5474,竹 118.8,竹,14
刖,5475,刀 18.4,刀,6
鲮,5476,魚 195.8,魚,16
訇,5477,言 149.2,言,9
茱,5478,艸 140.6,艸,9
啖,5479,口 30.8,口,11
悭,5480,心 61.7,心,10
愀,5481,心 61.9,心,12
朐,5482,月 74.5,月,9
畈,5483,田 102.4,田,9
鹨,5484,鳥 196.11,鳥,16
蛘,5485,虫 142.6,虫,12
佶,5486,人 9.6,人,8
缃,5487,糸 120.9,糸,12
晟,5488,日 72.7,日,10
鲱,5489,魚 195.8,魚,16
凼,5490,水 85.2,水,6
苴,5491,艸 140.5,艸,8
颛,5492,頁 181.9,頁,15
厍,5493,厂 27.4,厂,6
匚,5494,匚 22.0,匚,2
徉,5495,彳 60.6,彳,9
洙,5496,水 85.6,水,9
氡,5497,气 84.5,气,9
胗,5498,肉 130.5,肉,9
癯,5499,疒 104.18,疒,23
鞒,5500,革 177.6,革,15
锆,5501,金 167.7,金,12
佤,5502,人 9.5,人,6
錢,5503,金 167.8,金,16
飲,5504,食 184.4,食,12
細,5505,糸 120.5,糸,11
勰,5506,力 19.13,力,15
钺,5507,金 167.5,金,10
繇,5508,糸 120.11,糸,17
螭,5509,虫 142.11,虫,16
嵬,5510,山 46.10,山,12
轸,5511,車 159.5,車,9
肟,5512,肉 130.3,肉,7
肫,5513,肉 130.4,肉,8
邨,5514,邑 163.4,邑,6
瘿,5515,疒 104.11,疒,16
仞,5516,人 9.3,人,5
奁,5517,大 37.4,大,7
宄,5518,宀 40.2,宀,5
轳,5519,車 159.5,車,9
熳,5520,火 86.11,火,15
睇,5521,目 109.7,目,12
钼,5522,金 167.5,金,10
蝼,5523,虫 142.9,虫,15
跆,5524,足 157.5,足,12
樗,5525,木 75.11,木,15
鲰,5526,魚 195.8,魚,16
節,5527,竹 118.7,竹,13
诶,5528,言 149.7,言,9
薜,5529,艸 140.13,艸,16
铧,5530,金 167.6,金,11
裥,5531,衣 145.7,衣,12
榇,5532,木 75.9,木,13
馃,5533,食 184.8,食,11
術,5534,行 144.5,行,11
蹚,5535,足 157.11,足,18
怄,5536,心 61.4,心,7
寤,5537,宀 40.11,宀,14
缗,5538,糸 120.9,糸,12
硗,5539,石 112.6,石,11
碡,5540,石 112.9,石,14
矬,5541,矢 111.7,矢,12
鸱,5542,鳥 196.5,鳥,10
虺,5543,虫 142.3,虫,9
糅,5544,米 119.9,米,15
雠,5545,隹 172.10,隹,18
帑,5546,巾 50.5,巾,8
镧,5547,金 167.12,金,17
埙,5548,土 32.7,土,10
啁,5549,口 30.8,口,11
悒,5550,心 61.7,心,10
犍,5551,牛 93.9,牛,12
硌,5552,石 112.6,石,11
锩,5553,金 167.8,金,13
虿,5554,虫 142.3,虫,9
蛑,5555,虫 142.6,虫,12
艉,5556,舟 137.7,舟,13
钅,5557,金 167.0,金,5
咴,5558,口 30.6,口,9
筮,5559,竹 118.7,竹,13
艏,5560,舟 137.9,舟,15
糁,5561,米 119.8,米,14
鼍,5562,黽 205.12,黽,20
肄,5563,聿 129.7,聿,13
籴,5564,米 119.2,米,8
骜,5565,馬 187.10,馬,13
砻,5566,龍 212.5,龍,10
蜮,5567,虫 142.8,虫,14
龀,5568,齒 211.2,齒,10
黢,5569,黑 203.7,黑,19
劢,5570,力 19.3,力,5
腫,5571,肉 130.9,肉,13
耪,5572,耒 127.10,耒,16
鬯,5573,鬯 192.0,鬯,10
畚,5574,田 102.5,田,10
觳,5575,角 148.10,角,17
稞,5576,禾 115.8,禾,13
鹁,5577,鳥 196.7,鳥,12
鲲,5578,魚 195.8,魚,16
稱,5579,禾 115.9,禾,14
捌,5580,手 64.7,手,10
菔,5581,艸 140.8,艸,11
獬,5582,犬 94.13,犬,16
柘,5583,木 75.5,木,9
娆,5584,女 38.6,女,9
篪,5585,竹 118.10,竹,16
鲀,5586,魚 195.4,魚,12
谰,5587,言 149.12,言,14
孬,5588,子 39.7,子,10
伥,5589,人 9.5,人,6
谇,5590,言 149.8,言,10
鄄,5591,邑 163.9,邑,11
狎,5592,犬 94.5,犬,8
闫,5593,門 169.3,門,6
滟,5594,水 85.10,水,13
齑,5595,齊 210.9,齊,15
遒,5596,辵 162.9,辵,12
磔,5597,石 112.10,石,15
聃,5598,耳 128.5,耳,11
綦,5599,糸 120.8,糸,14
鲡,5600,魚 195.7,魚,15
蔻,5601,艸 140.11,艸,14
泠,5602,水 85.5,水,8
砗,5603,石 112.4,石,9
钕,5604,金 167.3,金,8
镫,5605,金 167.12,金,17
菹,5606,艸 140.8,艸,11
胂,5607,肉 130.5,肉,9
煅,5608,火 86.9,火,13
煸,5609,火 86.9,火,13
螯,5610,虫 142.11,虫,16
躅,5611,足 157.13,足,20
鲠,5612,魚 195.7,魚,15
佥,5613,人 9.5,人,7
罘,5614,网 122.4,网,9
嶝,5615,山 46.12,山,15
適,5616,辵 162.11,辵,14
坨,5617,土 32.5,土,8
菽,5618,艸 140.8,艸,11
哞,5619,口 30.6,口,9
徜,5620,彳 60.8,彳,11
慊,5621,心 61.10,心,13
洳,5622,水 85.6,水,9
渑,5623,水 85.8,水,11
灞,5624,水 85.21,水,24
盍,5625,皿 108.5,皿,10
钋,5626,金 167.2,金,7
鸫,5627,鳥 196.5,鳥,10
踯,5628,足 157.8,足,15
縻,5629,糸 120.11,糸,17
萘,5630,艸 140.8,艸,11
褫,5631,衣 145.10,衣,15
羰,5632,羊 123.9,羊,15
腦,5633,肉 130.9,肉,13
俅,5634,人 9.7,人,9
芤,5635,艸 140.4,艸,7
隳,5636,阜 170.15,阜,17
洮,5637,水 85.6,水,9
胼,5638,肉 130.6,肉,10
罴,5639,网 122.9,网,14
镛,5640,金 167.11,金,16
怛,5641,心 61.5,心,8
芊,5642,艸 140.3,艸,6
啉,5643,口 30.8,口,11
噌,5644,口 30.12,口,15
嫱,5645,女 38.11,女,14
绲,5646,糸 120.8,糸,11
膻,5647,肉 130.13,肉,17
焐,5648,火 86.7,火,11
裡,5649,衣 145.7,衣,12
葎,5650,艸 140.9,艸,12
亓,5651,二 7.2,二,4
倮,5652,人 9.8,人,10
莼,5653,艸 140.7,艸,10
蘅,5654,艸 140.16,艸,19
嘞,5655,口 30.11,口,14
缒,5656,糸 120.9,糸,12
镆,5657,金 167.10,金,15
網,5658,糸 120.8,糸,14
伧,5659,人 9.4,人,6
荏,5660,艸 140.6,艸,9
唳,5661,口 30.8,口,11
檩,5662,木 75.13,木,17
鸶,5663,鳥 196.5,鳥,10
蚬,5664,虫 142.4,虫,10
骱,5665,骨 188.4,骨,13
蘖,5666,艸 140.17,艸,20
澍,5667,水 85.12,水,15
韫,5668,韋 178.9,韋,13
颎,5669,火 86.8,火,12
嘏,5670,口 30.11,口,14
垡,5671,土 32.6,土,9
腚,5672,肉 130.8,肉,12
焯,5673,火 86.8,火,12
繻,5674,糸 120.14,糸,20
怙,5675,心 61.5,心,8
羧,5676,羊 123.7,羊,13
鼙,5677,鼓 207.8,鼓,21
倥,5678,人 9.8,人,10
亳,5679,亠 8.8,亠,10
艽,5680,艸 140.2,艸,5
荠,5681,艸 140.6,艸,9
昴,5682,日 72.5,日,9
舨,5683,舟 137.4,舟,10
魈,5684,鬼 194.7,鬼,16
醣,5685,酉 164.10,酉,17
枵,5686,木 75.5,木,9
粜,5687,米 119.5,米,11
甙,5688,弋 56.5,弋,8
珲,5689,玉 96.6,玉,10
杓,5690,木 75.3,木,7
楸,5691,木 75.9,木,13
楦,5692,木 75.9,木,13
疃,5693,田 102.12,田,17
蛏,5694,虫 142.5,虫,11
蠛,5695,虫 142.15,虫,20
髌,5696,骨 188.10,骨,19
茔,5697,艸 140.5,艸,8
臨,5698,臣 131.11,臣,17
诼,5699,言 149.8,言,10
嬖,5700,女 38.13,女,16
耒,5701,耒 127.0,耒,6
蜣,5702,虫 142.8,虫,13
笄,5703,竹 118.6,竹,10
跣,5704,足 157.6,足,13
钣,5705,金 167.4,金,9
戆,5706,心 61.21,心,25
蜉,5707,虫 142.7,虫,13
喾,5708,口 30.9,口,12
铍,5709,金 167.5,金,10
陉,5710,阜 170.5,阜,7
薹,5711,艸 140.14,艸,17
肷,5712,肉 130.4,肉,8
岵,5713,山 46.5,山,8
瓴,5714,瓦 98.5,瓦,9
荽,5715,艸 140.7,艸,10
怫,5716,心 61.5,心,8
钭,5717,金 167.4,金,9
窀,5718,穴 116.4,穴,9
缯,5719,糸 120.12,糸,15
倬,5720,人 9.8,人,10
摭,5721,手 64.11,手,14
帔,5722,巾 50.5,巾,8
楝,5723,木 75.9,木,13
痱,5724,疒 104.8,疒,13
蚶,5725,虫 142.5,虫,11
螬,5726,虫 142.11,虫,17
髑,5727,骨 188.13,骨,22
紅,5728,糸 120.3,糸,9
鼗,5729,鼓 207.6,鼓,19
狷,5730,犬 94.7,犬,10
殛,5731,歹 78.9,歹,12
裉,5732,衣 145.6,衣,11
粝,5733,米 119.5,米,11
萋,5734,艸 140.8,艸,11
葭,5735,艸 140.9,艸,12
衽,5736,衣 145.4,衣,9
鳢,5737,魚 195.13,魚,21
傧,5738,人 9.10,人,12
喁,5739,口 30.9,口,12
嫘,5740,女 38.11,女,14
罟,5741,网 122.5,网,10
钌,5742,金 167.2,金,7
裼,5743,衣 145.8,衣,13
愦,5744,心 61.9,心,12
蝽,5745,虫 142.9,虫,15
雖,5746,隹 172.9,隹,17
锗,5747,金 167.8,金,13
衿,5748,衣 145.4,衣,9
粢,5749,米 119.6,米,12
醵,5750,酉 164.13,酉,20
跫,5751,足 157.6,足,13
鐾,5752,金 167.13,金,21
廛,5753,广 53.12,广,15
墉,5754,土 32.11,土,14
哌,5755,口 30.6,口,9
輕,5756,車 159.7,車,14
扦,5757,手 64.3,手,6
堇,5758,土 32.8,土,11
婧,5759,女 38.8,女,11
暌,5760,日 72.9,日,13
罱,5761,网 122.9,网,14
镞,5762,金 167.11,金,16
蹰,5763,足 157.12,足,19
陟,5764,阜 170.7,阜,9
鳔,5765,魚 195.11,魚,19
脘,5766,肉 130.7,肉,11
臟,5767,肉 130.18,肉,21
岿,5768,山 46.5,山,8
侔,5769,人 9.6,人,8
郾,5770,邑 163.9,邑,11
唿,5771,口 30.8,口,11
砹,5772,石 112.5,石,10
疴,5773,疒 104.5,疒,10
麸,5774,麥 199.4,麥,11
薨,5775,艸 140.13,艸,16
綝,5776,糸 120.8,糸,14
滁,5777,水 85.10,水,12
偾,5778,人 9.9,人,11
拊,5779,手 64.5,手,8
撺,5780,手 64.12,手,15
呒,5781,口 30.4,口,7
狯,5782,犬 94.6,犬,9
猢,5783,犬 94.9,犬,12
椁,5784,木 75.8,木,12
榱,5785,木 75.10,木,14
罾,5786,网 122.12,网,17
铳,5787,金 167.5,金,11
裎,5788,衣 145.7,衣,12
鳚,5789,魚 195.11,魚,19
眦,5790,目 109.5,目,11
璎,5791,玉 96.11,玉,15
認,5792,言 149.7,言,14
崞,5793,山 46.8,山,11
缇,5794,糸 120.9,糸,12
蝣,5795,虫 142.9,虫,15
萑,5796,艸 140.8,艸,11
狲,5797,犬 94.6,犬,9
缱,5798,糸 120.13,糸,16
晷,5799,日 72.8,日,12
冼,5800,冫 15.6,冫,8
痧,5801,疒 104.7,疒,12
統,5802,糸 120.6,糸,12
蕖,5803,艸 140.12,艸,14
狍,5804,犬 94.5,犬,8
憷,5805,心 61.13,心,16
锛,5806,金 167.8,金,13
窨,5807,穴 116.9,穴,14
袼,5808,衣 145.6,衣,11
帏,5809,巾 50.4,巾,7
儋,5810,人 9.13,人,15
绨,5811,糸 120.7,糸,10
疠,5812,疒 104.3,疒,8
蘩,5813,艸 140.17,艸,20
嵝,5814,山 46.9,山,12
庀,5815,广 53.2,广,5
汜,5816,水 85.3,水,6
炅,5817,火 86.4,火,8
煳,5818,火 86.9,火,13
泶,5819,水 85.5,水,9
瓠,5820,瓜 97.6,瓜,11
窳,5821,穴 116.10,穴,15
虮,5822,虫 142.2,虫,8
蚰,5823,虫 142.5,虫,11
邰,5824,邑 163.5,邑,7
苊,5825,艸 140.4,艸,7
砀,5826,石 112.4,石,8
捩,5827,手 64.8,手,11
蹉,5828,足 157.10,足,16
莪,5829,艸 140.7,艸,10
螽,5830,虫 142.11,虫,17
覺,5831,見 147.13,見,20
蘼,5832,艸 140.19,艸,22
槔,5833,木 75.10,木,14
曛,5834,日 72.14,日,18
蛲,5835,虫 142.6,虫,12
鹾,5836,鹵 197.9,鹵,16
隹,5837,隹 172.0,隹,8
犸,5838,犬 94.3,犬,6
衄,5839,血 143.4,血,10
觀,5840,見 147.18,見,24
轉,5841,車 159.11,車,18
銎,5842,金 167.6,金,14
泫,5843,水 85.5,水,8
玢,5844,玉 96.4,玉,8
辊,5845,車 159.8,車,12
瞋,5846,目 109.10,目,15
墀,5847,土 32.11,土,15
酐,5848,酉 164.3,酉,10
隱,5849,阜 170.14,阜,16
堞,5850,土 32.9,土,12
尥,5851,尢 43.3,尢,6
嚯,5852,口 30.16,口,19
猗,5853,犬 94.8,犬,11
逑,5854,辵 162.7,辵,10
逯,5855,辵 162.8,辵,11
硖,5856,石 112.6,石,11
噻,5857,口 30.13,口,16
嵛,5858,山 46.9,山,12
畀,5859,田 102.3,田,8
運,5860,辵 162.9,辵,12
鲃,5861,魚 195.4,魚,12
偬,5862,人 9.9,人,11
鄞,5863,邑 163.11,邑,13
呖,5864,口 30.4,口,7
溧,5865,水 85.10,水,13
嬲,5866,女 38.14,女,17
肭,5867,肉 130.4,肉,8
鹈,5868,鳥 196.7,鳥,12
鹱,5869,鳥 196.14,鳥,18
窭,5870,穴 116.9,穴,14
黧,5871,黑 203.8,黑,20
谵,5872,言 149.13,言,15
沆,5873,水 85.4,水,7
嫒,5874,女 38.10,女,13
塬,5875,土 32.10,土,13
缣,5876,糸 120.10,糸,13
篯,5877,竹 118.10,竹,16
酃,5878,邑 163.17,邑,19
喱,5879,口 30.9,口,12
泔,5880,水 85.5,水,8
溘,5881,水 85.10,水,13
迕,5882,辵 162.4,辵,7
肀,5883,聿 129.0,聿,4
秫,5884,禾 115.5,禾,10
裣,5885,衣 145.7,衣,12
铋,5886,金 167.5,金,10
蒌,5887,艸 140.9,艸,12
曩,5888,日 72.17,日,21
赀,5889,貝 154.6,貝,10
箪,5890,竹 118.8,竹,14
朊,5891,肉 130.4,肉,8
鳙,5892,魚 195.11,魚,19
仫,5893,人 9.3,人,5
钎,5894,金 167.3,金,8
芑,5895,艸 140.3,艸,6
胙,5896,肉 130.5,肉,9
盱,5897,目 109.3,目,8
糇,5898,米 119.9,米,15
挹,5899,手 64.7,手,10
捭,5900,手 64.8,手,11
悱,5901,心 61.8,心,11
鬟,5902,髟 190.13,髟,23
